name,symbol,price,change_1h,change_24h,change_7d,market_cap,volume_24h,cmc_rank,slug,url
Bitcoin,BTC,62646.343393,0.15294612,0.43483234,-3.52717274,1255890979589.9272,24100569086.984142,1,bitcoin,https://coinmarketcap.com/currencies/bitcoin/
Ethereum,ETH,1667.303697,-0.08943457,1.11671327,-5.71639548,201216519297.86978,7902769950.461064,2,ethereum,https://coinmarketcap.com/currencies/ethereum/
Tether USDt,USDT,0.998514,-0.01296309,-0.02832348,-0.03197119,186058452754.54797,52129150090.558304,3,tether,https://coinmarketcap.com/currencies/tether/
BNB,BNB,576.453124,0.05952162,0.63340488,-4.17044209,77696150117.76396,916276771.345391,4,bnb,https://coinmarketcap.com/currencies/bnb/
USDC,USDC,0.999739,-0.0009027,0.00712482,0.00362051,74055104328.55305,8535668364.335934,5,usd-coin,https://coinmarketcap.com/currencies/usd-coin/
XRP,XRP,1.098292,0.09192046,-0.27557507,-8.14466502,68153326734.93614,1254688130.4754004,6,xrp,https://coinmarketcap.com/currencies/xrp/
Solana,SOL,69.345395,0.12775889,0.96461257,-4.13896536,40256354180.64486,1796926277.9772568,7,solana,https://coinmarketcap.com/currencies/solana/
TRON,TRX,0.330485,0.51528607,0.20641212,3.63567378,31343845338.9693,517704480.27133816,8,tron,https://coinmarketcap.com/currencies/tron/
Hyperliquid,HYPE,62.198193,0.37172585,-0.93859346,-14.22455922,15746933759.522366,617652900.8985537,9,hyperliquid,https://coinmarketcap.com/currencies/hyperliquid/
Dogecoin,DOGE,0.078884,0.05608174,-0.22543537,-8.24627135,13449936031.395128,495432783.2259928,10,dogecoin,https://coinmarketcap.com/currencies/dogecoin/
UNUS SED LEO,LEO,9.531178,0.02837257,-0.2305133,-1.65133168,8771702109.31782,316756.91855464,11,unus-sed-leo,https://coinmarketcap.com/currencies/unus-sed-leo/
Zcash,ZEC,414.448141,-0.12412431,-1.76696749,-17.99936398,6937552244.367366,365729571.6287234,12,zcash,https://coinmarketcap.com/currencies/zcash/
Stellar,XLM,0.191484,0.18982013,-0.35423671,-12.3895229,6482826643.8554535,170179124.42649823,13,stellar,https://coinmarketcap.com/currencies/stellar/
Monero,XMR,329.223198,1.29700512,4.16094819,-5.8322678,6179226209.064703,144644604.460116,14,monero,https://coinmarketcap.com/currencies/monero/
Canton,CC,0.150826,0.24847652,0.85275292,-5.96950337,5865243026.618429,16132207.00895764,15,canton-network,https://coinmarketcap.com/currencies/canton-network/
Chainlink,LINK,7.609269,0.16930248,1.13134657,-6.93349641,5532699290.285884,246002837.91804835,16,chainlink,https://coinmarketcap.com/currencies/chainlink/
Cardano,ADA,0.150567,0.13253908,-1.23628926,-10.88482496,5478236783.439394,396879622.2191904,17,cardano,https://coinmarketcap.com/currencies/cardano/
Dai,DAI,0.999589,0.01211559,0.00597542,-0.0034358,5363178222.4143,121773805.00818403,18,multi-collateral-dai,https://coinmarketcap.com/currencies/multi-collateral-dai/
World Liberty Financial USD,USD1,0.998915,-0.0130976,-0.00835285,-0.07522089,4717231381.704964,871470330.7045828,19,usd1,https://coinmarketcap.com/currencies/usd1/
Ethena USDe,USDe,0.998531,-0.00056339,-0.01975484,-0.04437507,4482625153.33899,91985422.19820936,20,ethena-usde,https://coinmarketcap.com/currencies/ethena-usde/
Gram (prev. Toncoin),GRAM,1.585017,0.108494,-0.49519661,-3.5628512,4278131670.5462365,95367775.94334343,21,gram,https://coinmarketcap.com/currencies/gram/
Bitcoin Cash,BCH,193.066051,-0.66082135,2.28049863,-9.61285649,3871380367.7551465,113687634.68357529,22,bitcoin-cash,https://coinmarketcap.com/currencies/bitcoin-cash/
MemeCore,M,2.87151,1.16124335,-0.15097629,-6.16879471,3779883122.348779,11454236.03978141,23,memecore,https://coinmarketcap.com/currencies/memecore/
Hedera,HBAR,0.077099,-0.09330131,-0.12176277,-3.61411365,3351729391.6247253,49218205.59096408,24,hedera,https://coinmarketcap.com/currencies/hedera/
Litecoin,LTC,42.070833,0.22980649,-2.83119947,-7.21815211,3252667911.74582,219136032.19382414,25,litecoin,https://coinmarketcap.com/currencies/litecoin/
Global Dollar,USDG,0.999748,-0.00411964,-0.01954594,-0.0205318,2876847100.490881,43584672.72447086,26,global-dollar-usdg,https://coinmarketcap.com/currencies/global-dollar-usdg/
Sui,SUI,0.700024,-0.07240563,2.6893867,-11.3797973,2820534909.1246805,283805488.62163126,27,sui,https://coinmarketcap.com/currencies/sui/
Avalanche,AVAX,6.387708,0.03820217,4.10823515,-6.25663622,2758033068.2912984,327765070.6339145,28,avalanche,https://coinmarketcap.com/currencies/avalanche/
